a,a,Aa111111!,95700,4
r,r,Rr111111!,100000,0
r,r,Rr111111!,100000,1
r,r,Rr111111!,100000,2
r,r,Rr111111!,100000,3
r,r,Rr111111!,100000,4
r,r,Rr111111!,100000,5
r,r,Rr111111!,100000,6
r,r,Rr111111!,100000,7
r,r,Rr111111!,100000,8
r,r,Rr111111!,100000,9
r,r,Rr111111!,100000,10
r,r,Rr111111!,100000,11
r,r,Rr111111!,100000,12
r,r,Rr111111!,100000,13
r,r,Rr111111!,100000,14
r,r,Rr111111!,100000,15
r,r,Rr111111!,100000,16
r,r,Rr111111!,100000,17
r,r,Rr111111!,100000,18
r,r,Rr111111!,100000,19
r,r,Rr111111!,100000,20
r,r,Rr111111!,100000,21
r,r,Rr111111!,100000,22
r,r,Rr111111!,100000,23
r,r,Rr111111!,100000,24
r,r,Rr111111!,100000,25
r,r,Rr111111!,100000,26
r,r,Rr111111!,100000,27
r,r,Rr111111!,100000,28
r,r,Rr111111!,100000,29
r,r,Rr111111!,100000,30
r,r,Rr111111!,100000,31
r,r,Rr111111!,100000,32
r,r,Rr111111!,100000,33
r,r,Rr111111!,100000,34
r,r,Rr111111!,100000,35
r,r,Rr111111!,100000,36
r,r,Rr111111!,100000,37
r,r,Rr111111!,100000,38
r,r,Rr111111!,100000,39
r,r,Rr111111!,100000,40
r,r,Rr111111!,100000,41
r,r,Rr111111!,100000,42
r,r,Rr111111!,100000,43
r,r,Rr111111!,100000,44
r,r,Rr111111!,100000,45
r,r,Rr111111!,100000,46
r,r,Rr111111!,100000,47
r,r,Rr111111!,100000,48
r,r,Rr111111!,100000,49
r,r,Rr111111!,100000,50
r,r,Rr111111!,100000,51
r,r,Rr111111!,100000,52
r,r,Rr111111!,100000,53
r,r,Rr111111!,100000,54
r,r,Rr111111!,100000,55
r,r,Rr111111!,100000,56
r,r,Rr111111!,100000,57
r,r,Rr111111!,100000,58
r,r,Rr111111!,100000,59
r,r,Rr111111!,100000,60
r,r,Rr111111!,100000,61
r,r,Rr111111!,100000,62
r,r,Rr111111!,100000,63
r,r,Rr111111!,100000,64
r,r,Rr111111!,100000,65
r,r,Rr111111!,100000,66
r,r,Rr111111!,100000,67
r,r,Rr111111!,100000,68
r,r,Rr111111!,100000,69
r,r,Rr111111!,100000,70
r,r,Rr111111!,100000,71
r,r,Rr111111!,100000,72
r,r,Rr111111!,100000,73
null,null,null,0,1
null,null,null,0,2
null,null,null,0,3
null,null,null,0,3
r,r,Rr111111!,100000,74
r,r,Rr111111!,100000,75
r,r,Rr111111!,99900,75
r,r,Rr111111!,99900,75
r,r,Rr111111!,100000,75
r,r,Rr111111!,100000,75
r,r,Rr111111!,100000,76
r,r,Rr111111!,100000,77
r,r,Rr111111!,100000,78
r,r,Rr111111!,100000,79
r,r,Rr111111!,100000,80
r,r,Rr111111!,100000,81
r,r,Rr111111!,100000,82
r,r,Rr111111!,100000,83
r,r,Rr111111!,100000,84
r,r,Rr111111!,100000,85
r,r,Rr111111!,100000,86
r,r,Rr111111!,100000,87
r,r,Rr111111!,100000,88
r,r,Rr111111!,100000,89
r,r,Rr111111!,100000,90
r,r,Rr111111!,100000,91
r,r,Rr111111!,100000,92
r,r,Rr111111!,100000,93
r,r,Rr111111!,100000,94
